Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load,Class
0.64,784,343,220.5,3.5,5,0.4,2,19.12,21.93,B
0.62,808.5,367.5,220.5,3.5,4,0.4,2,17.26,16.86,B
0.62,808.5,367.5,220.5,3.5,5,0.4,2,17.15,16.99,B
0.9,563.5,318.5,122.5,7,3,0.4,3,34.95,35.04,D
0.9,563.5,318.5,122.5,7,4,0.4,3,35.05,33.82,D
0.82,612.5,318.5,147,7,3,0.4,3,29.67,30.65,C
0.76,661.5,416.5,122.5,7,2,0.4,3,39.32,38.17,D
0.74,686,245,220.5,3.5,3,0.4,3,14.22,15.39,B
0.71,710.5,269.5,220.5,3.5,4,0.4,3,13.94,16.7,B
0.69,735,294,220.5,3.5,5,0.4,3,14.08,17.02,B
0.64,784,343,220.5,3.5,4,0.4,3,18.48,21.54,B
0.64,784,343,220.5,3.5,5,0.4,3,18.46,21.53,B
0.62,808.5,367.5,220.5,3.5,3,0.4,3,16.35,17.14,B
0.76,661.5,416.5,122.5,7,5,0.4,4,40.11,40.77,D
0.69,735,294,220.5,3.5,2,0.4,4,14.54,16.81,B
0.69,735,294,220.5,3.5,4,0.4,4,14.53,16.9,B
0.98,514.5,294,110.25,7,5,0.4,5,32.73,34.01,D
0.86,588,294,147,7,5,0.4,5,32.06,35.71,D
0.82,612.5,318.5,147,7,3,0.4,5,29.5,29.56,C
0.76,661.5,416.5,122.5,7,2,0.4,5,38.82,39.37,D
0.74,686,245,220.5,3.5,3,0.4,5,14.19,16.62,B
0.71,710.5,269.5,220.5,3.5,4,0.4,5,12.76,15.33,B
0.69,735,294,220.5,3.5,3,0.4,5,14.28,15.87,B
0.69,735,294,220.5,3.5,5,0.4,5,14.21,16.74,B
0.64,784,343,220.5,3.5,5,0.4,5,17.88,21.4,B
0.62,808.5,367.5,220.5,3.5,2,0.4,5,16.54,16.88,B
0.62,808.5,367.5,220.5,3.5,4,0.4,5,16.48,16.61,B
0.62,808.5,367.5,220.5,3.5,5,0.4,5,16.64,16.03,B
0.74,686,245,220.5,3.5,2,0,0,6.07,10.9,A
0.74,686,245,220.5,3.5,3,0,0,6.05,11.19,A
0.74,686,245,220.5,3.5,4,0,0,6.01,10.94,A
0.74,686,245,220.5,3.5,5,0,0,6.04,11.17,A
0.71,710.5,269.5,220.5,3.5,2,0,0,6.37,11.27,A
0.71,710.5,269.5,220.5,3.5,3,0,0,6.4,11.72,A
0.71,710.5,269.5,220.5,3.5,4,0,0,6.37,11.29,A
0.71,710.5,269.5,220.5,3.5,5,0,0,6.4,11.67,A
0.69,735,294,220.5,3.5,2,0,0,6.85,11.74,A
0.69,735,294,220.5,3.5,3,0,0,6.79,12.05,A
0.69,735,294,220.5,3.5,4,0,0,6.77,11.73,A
0.69,735,294,220.5,3.5,5,0,0,6.81,11.93,A
0.66,759.5,318.5,220.5,3.5,2,0,0,7.18,12.4,A
0.66,759.5,318.5,220.5,3.5,3,0,0,7.1,12.23,A
0.66,759.5,318.5,220.5,3.5,4,0,0,7.1,12.4,A
0.66,759.5,318.5,220.5,3.5,5,0,0,7.1,12.14,A
0.62,808.5,367.5,220.5,3.5,2,0,0,8.6,12.07,A
0.62,808.5,367.5,220.5,3.5,3,0,0,8.49,12.22,A
0.62,808.5,367.5,220.5,3.5,4,0,0,8.45,12.08,A
0.62,808.5,367.5,220.5,3.5,5,0,0,8.5,12.04,A
0.74,686,245,220.5,3.5,2,0.1,1,10.36,13.43,A
0.74,686,245,220.5,3.5,3,0.1,1,10.43,13.71,A
0.74,686,245,220.5,3.5,4,0.1,1,10.36,13.48,A
0.74,686,245,220.5,3.5,5,0.1,1,10.39,13.7,A
0.74,686,245,220.5,3.5,2,0.1,2,10.42,13.39,A
0.74,686,245,220.5,3.5,3,0.1,2,10.46,13.72,A
0.74,686,245,220.5,3.5,4,0.1,2,10.32,13.57,A
0.74,686,245,220.5,3.5,5,0.1,2,10.45,13.79,A
0.74,686,245,220.5,3.5,2,0.1,3,10.39,13.6,A
0.74,686,245,220.5,3.5,3,0.1,3,10.34,13.36,A
0.74,686,245,220.5,3.5,4,0.1,3,10.35,13.65,A
0.74,686,245,220.5,3.5,5,0.1,3,10.38,13.49,A
0.74,686,245,220.5,3.5,2,0.1,4,10.08,13.2,A
0.74,686,245,220.5,3.5,3,0.1,4,10.15,13.36,A
0.74,686,245,220.5,3.5,4,0.1,4,10.07,13.21,A
0.74,686,245,220.5,3.5,5,0.1,4,10.14,13.53,A
0.74,686,245,220.5,3.5,2,0.1,5,10.47,13.65,A
0.74,686,245,220.5,3.5,3,0.1,5,10.37,13.44,A
0.74,686,245,220.5,3.5,4,0.1,5,10.34,13.72,A
0.74,686,245,220.5,3.5,5,0.1,5,10.39,13.5,A
0.79,637,343,147,7,2,0.4,1,41.4,45.29,E
0.79,637,343,147,7,3,0.4,1,42.62,39.07,E
0.79,637,343,147,7,4,0.4,1,42.5,38.35,E
0.79,637,343,147,7,5,0.4,1,41.67,46.94,E
0.76,661.5,416.5,122.5,7,2,0.4,1,40.78,39.55,E
0.76,661.5,416.5,122.5,7,4,0.4,1,40.71,40.63,E
0.79,637,343,147,7,2,0.4,2,41.64,45.59,E
0.79,637,343,147,7,3,0.4,2,43.1,39.41,E
0.79,637,343,147,7,4,0.4,2,42.74,38.84,E
0.79,637,343,147,7,5,0.4,2,41.92,48.03,E
0.76,661.5,416.5,122.5,7,2,0.4,2,40.78,39.48,E
0.76,661.5,416.5,122.5,7,4,0.4,2,40.57,40.47,E
0.79,637,343,147,7,2,0.4,3,41.26,46.44,E
0.79,637,343,147,7,3,0.4,3,41.3,44.18,E
0.79,637,343,147,7,4,0.4,3,42.49,38.81,E
0.79,637,343,147,7,5,0.4,3,42.08,38.23,E
0.79,637,343,147,7,2,0.4,4,42.77,38.33,E
0.79,637,343,147,7,3,0.4,4,41.73,47.59,E
0.79,637,343,147,7,4,0.4,4,41.32,46.23,E
0.79,637,343,147,7,5,0.4,4,42.96,39.56,E
0.76,661.5,416.5,122.5,7,2,0.4,4,40.68,40.36,E
0.76,661.5,416.5,122.5,7,4,0.4,4,40.6,39.85,E
0.79,637,343,147,7,2,0.4,5,42.11,38.56,E
0.79,637,343,147,7,3,0.4,5,41.96,37.7,E
0.79,637,343,147,7,4,0.4,5,41.09,47.01,E
0.79,637,343,147,7,5,0.4,5,40.79,44.87,E
